Description,TotalSalesDollars,ProfitMargin
BR Cohn Olive Hill Cab Svgn,99.98,33.32666533306662
BV Beaurouge Red,9518.649999999963,88.71919862585551
Bacardi 151 Proof,108725.61000000332,5.763885803908549
Bacardi 1873 Solera Rum,1244.1700000000005,79.91432039030038
Bacardi 8 Gift Set,1194.5200000000002,94.0227036801393
Bacardi Anejo Mexican Rum,1720.7700000000004,41.08218994984804
Bacardi Artic Grape Rum,195.85999999999999,51.046665985908305
Bacardi Black Razz,28358.170000000504,42.11625785443933
Bacardi Coconut,5149.9799999998095,97.5902819040073
Bacardi Dragon Berry,2770.019999999963,93.94372603807908
Bacardi Dragon Berry Trav,599.4000000000002,85.70570570570571
Bacardi Gran Reserva Maestro,4692.939999999987,73.24704769291736
Bacardi Grand Melon,13605.549999999837,10.925761913335858
Bacardi Limon Rum,7592.3099999997075,56.491502586167755
Bacardi Limon Traveler,199.8,92.7027027027027
Bacardi Mango Fusion,3557.0699999999165,91.09407461759236
Bacardi Oakheart Spiced Trav,399.6000000000002,98.13313313313314
Bacardi Peach Red Rum,287.76,39.6163469557965
Bacardi Pineapple Fusion,4364.909999999879,94.19369471535481
Bacardi Reserva Limitada,1529.8300000000002,91.15457273030337
Bacardi Superior Rum,40243.140000000516,76.46555412922581
Bacardi Tangerine Rum,10392.739999999883,53.7314509936739
Bacardi Twin Pack 2/750mls,57731.11999999965,78.29721647527352
Baileys Espresso Creme,13371.92999999976,60.99949670690701
Balcones TX Whisky Single Ba,389.94,23.08047391906447
Balletto Vyds Pnt Gris,16953.85999999987,24.271050958306194
Balvenie 15 Yr Single Malt,1259.8600000000001,69.38707475433779
Banfi Centine Mntcln Tscna,80189.85000000025,16.15075972831945
Banfi Poggio All'Oro Br Mont,1988.8700000000001,15.670707487166094
Banfi Poggio Alle Mura Rsva,920.91,43.5949224136995
Banfi Sangiovese CollePino,17257.529999999864,2.748539333264483
Banfi Summus Tuscany Red,1699.72,72.13423387381451
Banknote Counterfeit,559.72,36.268134067033515
Banshee Cab Svgn Napa Vly,3720.8999999999946,25.477707006369315
Banshee Chard,762.5800000000002,84.30328621259409
Baracchi O'Lillo,24039.95000000013,87.36478237267555
Barbarossa Spiced Rum,1120.9800000000005,98.50309550571822
Barco Negro Douro,25416.19000000017,5.739294520540477
Barco de Piedra Temp Red,407.76,35.49146556798116
Barcraft Watermelon Fresca V,5947.039999999962,83.8319567381419
Barefoot Cellars Rosa Red,336.28000000000003,71.09551564172713
Barenjager Honey & Bourbon,8713.109999999957,61.81983241345495
Barenjager Honey Liqueur,4957.089999999895,77.2919192510117
Baron La Rose Bordeaux Blanc,1144.9500000000007,65.54434691471246
